unique_id,study_program,study_level,time_to_job_after_graduation,current_status,job_title,degree_required_for_job,career_prep_talked_faculty,career_prep_attended_fair,career_prep_worked_in_field,career_prep_used_career_services,other_courses_to_take,other_courses_to_take.1,alumni_registered,alumni_interest_info
2342377,BM,1,,0,early_others,,1,0,0,0,OTHER,OTHER,0,1
2342378,CDQ,1,,0,early_others,,0,1,0,1,OTHER,OTHER,0,1
2342379,BM,1,0.25,1,senior_executives,0,0,0,1,0,OTHER,OTHER,0,0
2342380,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,0
2342381,BM,1,0.25,1,admin_sales,1,0,0,1,0,OTHER,OTHER,0,0
2342382,BM,1,0.25,1,technical_professional,1,1,1,1,1,OTHER,OTHER,0,1
2342383,LPS,1,,0,early_others,,1,1,0,1,OTHER,OTHER,0,1
2342384,BM,1,0.25,1,technical_professional,1,1,1,1,1,OTHER,OTHER,0,1
2342385,CDQ,1,,0,early_others,,1,1,1,1,OTHER,OTHER,0,1
2342386,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342387,BM,1,,0,early_others,,1,1,0,1,OTHER,OTHER,0,1
2342388,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342389,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342390,OTHER,,,0,early_others,,,,,,OTHER,OTHER,,
2342391,CDQ,1,0.25,1,technical_professional,1,1,0,0,0,OTHER,OTHER,0,1
2342392,LPS,1,,0,early_others,,0,1,1,0,OTHER,OTHER,0,1
2342393,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342394,BM,1,0.25,1,early_others,1,0,1,1,1,OTHER,OTHER,0,1
2342395,BM,1,0.25,1,admin_sales,1,0,1,1,1,OTHER,OTHER,0,1
2342396,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342397,BM,1,,0,early_others,,0,0,0,0,BM,OTHER,0,1
2342398,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342399,BM,1,,0,early_others,,1,1,1,1,OTHER,OTHER,0,1
2342400,LPS,1,,0,early_others,,1,0,0,0,OTHER,OTHER,0,1
2342401,BM,1,0.25,1,technical_professional,1,0,1,1,1,OTHER,OTHER,0,1
2342402,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342403,BM,1,,0,early_others,,1,1,0,1,BM,OTHER,0,1
2342404,CDQ,1,,0,early_others,,1,0,0,1,OTHER,OTHER,1,
2342405,BM,1,0.25,1,admin_sales,1,1,1,1,1,OTHER,OTHER,0,1
2342406,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342407,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342408,LPS,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342409,OTHER,,,0,early_others,,,,,,OTHER,OTHER,,
2342410,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342411,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342412,BM,1,Other,1,technical_professional,0,0,0,0,0,OTHER,OTHER,0,1
2342413,BM,1,0.25,1,admin_sales,1,0,0,1,0,BM,OTHER,0,1
2342414,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342415,BM,1,Other,1,technical_professional,0,0,0,1,0,OTHER,OTHER,0,1
2342416,BM,1,Other,1,admin_sales,0,1,0,0,0,OTHER,OTHER,0,1
2342417,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342418,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342419,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342420,BM,1,,0,early_others,,0,0,0,1,OTHER,OTHER,0,1
2342421,BM,1,,0,early_others,,0,0,0,0,BM,OTHER,0,1
2342422,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342423,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342424,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342425,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342426,CDQ,1,0.25,1,technical_professional,0,0,0,1,0,OTHER,OTHER,0,1
2342427,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342428,BM,1,0.25,1,early_others,1,0,0,0,1,BM,OTHER,0,1
2342429,LPS,1,0.25,1,technical_professional,1,1,0,1,0,OTHER,OTHER,0,1
2342430,BM,1,Other,1,technical_professional,1,0,1,1,1,OTHER,OTHER,0,1
2342431,BM,1,0.25,1,admin_sales,0,0,0,0,0,OTHER,OTHER,0,0
2342432,BM,1,,0,early_others,,0,0,1,0,OTHER,OTHER,0,1
2342433,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342434,BM,1,0.5,1,technical_professional,1,0,0,0,0,OTHER,OTHER,0,1
2342435,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342436,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342437,BM,1,,0,early_others,,1,1,1,1,OTHER,OTHER,0,1
2342438,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342439,CDQ,1,,0,early_others,,0,0,1,0,OTHER,OTHER,0,1
2342440,BM,1,0.5,1,technical_professional,1,0,0,0,1,OTHER,OTHER,0,1
2342441,LPS,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342442,CDQ,1,,0,early_others,,0,1,0,0,OTHER,OTHER,0,1
2342443,LPS,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342444,BM,1,0.25,1,technical_professional,0,1,1,1,1,CDQ,OTHER,0,1
2342445,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342446,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342447,BM,1,,0,early_others,,0,0,1,1,OTHER,OTHER,0,1
2342448,BM,1,,0,early_others,,0,0,0,0,BM,OTHER,0,1
2342449,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342450,CDQ,0,,1,early_others,1,,,,,OTHER,OTHER,0,1
2342451,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342452,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342453,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342454,BM,1,,0,early_others,,0,0,1,0,OTHER,OTHER,1,
2342455,BM,1,,0,early_others,,1,1,0,0,OTHER,OTHER,0,1
2342456,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342457,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342458,BM,1,0.25,1,admin_sales,0,0,1,1,1,OTHER,OTHER,0,1
2342459,BM,1,,0,early_others,,0,1,0,1,OTHER,OTHER,0,1
2342460,LPS,1,,0,early_others,,0,0,0,0,LPS,OTHER,0,1
2342461,CDQ,1,0.25,1,admin_sales,1,0,0,0,0,OTHER,OTHER,0,1
2342462,BM,1,Other,1,technical_professional,0,0,0,1,0,OTHER,OTHER,0,1
2342463,CDQ,0,,0,early_others,,,,,,OTHER,OTHER,0,1
2342464,CDQ,1,0.25,1,technical_professional,1,1,1,1,1,OTHER,OTHER,0,1
2342465,BM,1,0.25,1,early_others,0,1,0,1,0,OTHER,OTHER,0,0
2342466,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342467,BM,1,,0,early_others,,1,0,1,0,OTHER,OTHER,0,1
2342468,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342469,BM,1,,0,early_others,,1,1,0,1,OTHER,OTHER,0,1
2342470,BM,1,0.5,1,early_others,0,0,1,0,0,OTHER,OTHER,0,1
2342471,BM,1,0.25,1,admin_sales,1,0,1,1,0,OTHER,OTHER,0,1
2342472,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342473,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342474,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342475,CDQ,0,,1,technical_professional,1,,,,,OTHER,OTHER,0,1
2342476,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342477,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342478,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342479,CDQ,0,,0,early_others,,,,,,OTHER,OTHER,0,1
2342480,LPS,1,,0,early_others,,1,1,0,0,OTHER,OTHER,0,1
2342481,BM,1,,0,early_others,,0,0,1,0,OTHER,OTHER,0,1
2342482,CDQ,1,,0,early_others,,0,0,0,0,CDQ,OTHER,0,1
2342483,BM,1,,0,early_others,,0,0,0,1,OTHER,OTHER,0,1
2342484,BM,1,,0,early_others,,1,0,0,0,BM,OTHER,0,1
2342485,BM,1,0.25,1,early_others,1,0,0,0,0,OTHER,OTHER,0,1
2342486,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342487,BM,1,0.25,1,early_others,0,0,0,0,0,OTHER,OTHER,0,1
2342488,CDQ,0,,0,early_others,,,,,,OTHER,OTHER,0,1
2342489,CDQ,1,0.25,1,technical_professional,1,1,0,1,0,OTHER,OTHER,0,1
2342490,BM,1,0.25,1,admin_sales,1,0,0,0,0,OTHER,OTHER,0,1
2342491,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342492,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342493,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342494,CDQ,0,,1,early_others,1,,,,,OTHER,OTHER,0,0
2342495,CDQ,1,,0,early_others,,1,0,1,0,OTHER,OTHER,0,1
2342496,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342497,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,0
2342498,CDQ,1,0.5,1,early_others,0,0,1,1,0,OTHER,OTHER,0,1
2342499,CDQ,1,0.25,1,admin_sales,1,1,0,0,1,OTHER,OTHER,0,1
2342500,CDQ,1,0.5,1,technical_professional,1,0,0,1,0,OTHER,OTHER,0,1
2342501,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342502,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342503,CDQ,1,,0,early_others,,0,0,1,0,OTHER,OTHER,0,1
2342504,BM,1,0.25,1,admin_sales,1,0,0,1,0,OTHER,OTHER,0,1
2342505,OTHER,,,0,early_others,,,,,,OTHER,OTHER,,
2342506,BM,1,,0,early_others,,0,0,0,0,BM,OTHER,0,1
2342507,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342508,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342509,LPS,1,,0,early_others,,1,0,0,0,OTHER,OTHER,0,1
2342510,CDQ,1,0.25,1,technical_professional,1,1,0,1,0,CDQ,OTHER,0,1
2342511,CDQ,0,,1,early_others,1,,,,,OTHER,OTHER,,
2342512,BM,1,,0,early_others,,1,1,0,1,OTHER,OTHER,0,1
2342513,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342514,BM,1,,0,early_others,,1,0,0,1,OTHER,OTHER,0,1
2342515,BM,1,0.5,1,technical_professional,1,0,0,0,1,OTHER,OTHER,0,1
2342516,BM,1,0.25,1,admin_sales,1,1,1,1,1,OTHER,OTHER,0,1
2342517,BM,1,0.25,1,admin_sales,0,0,0,0,1,OTHER,OTHER,0,1
2342518,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342519,BM,1,0.25,1,technical_professional,1,1,1,1,0,OTHER,OTHER,1,
2342520,BM,1,0.5,1,admin_sales,1,0,0,1,1,OTHER,OTHER,0,1
2342521,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342522,BM,1,0.25,1,technical_professional,1,1,0,1,1,OTHER,OTHER,0,1
2342523,BM,1,0.25,1,admin_sales,1,0,0,0,0,OTHER,OTHER,0,1
2342524,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342525,CDQ,1,,0,early_others,,1,1,0,1,OTHER,OTHER,0,1
2342526,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342527,BM,1,,0,early_others,,0,1,1,0,OTHER,OTHER,0,1
2342528,BM,1,0.25,1,early_others,1,1,1,1,1,BM,OTHER,0,1
2342529,BM,1,0.25,1,senior_executives,1,1,0,1,0,OTHER,OTHER,0,1
2342530,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342531,BM,1,0.5,1,early_others,0,0,0,1,0,OTHER,OTHER,0,0
2342532,BM,1,0.25,1,technical_professional,1,1,1,1,0,OTHER,OTHER,0,1
2342533,BM,1,,0,early_others,,0,0,1,0,OTHER,OTHER,0,1
2342534,BM,1,0.25,1,technical_professional,1,0,0,1,0,OTHER,OTHER,0,1
2342535,CDQ,1,,0,early_others,,1,0,0,0,OTHER,OTHER,0,1
2342536,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342537,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342538,CDQ,1,0.5,1,technical_professional,1,1,0,1,0,OTHER,OTHER,0,1
2342539,BM,1,Other,1,technical_professional,1,0,0,1,0,OTHER,OTHER,0,1
2342540,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342541,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342542,BM,1,0.25,1,technical_professional,1,1,1,1,0,OTHER,OTHER,0,1
2342543,BM,1,,0,early_others,,0,1,0,0,OTHER,OTHER,0,1
2342544,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342545,BM,1,,0,early_others,,0,1,0,0,BM,OTHER,0,0
2342546,LPS,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342547,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342548,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342549,BM,1,0.25,1,admin_sales,0,1,0,1,1,OTHER,OTHER,0,1
2342550,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342551,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342552,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342553,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342554,OTHER,,,0,early_others,,,,,,OTHER,OTHER,,
2342555,CDQ,1,Other,1,senior_executives,0,0,1,1,0,OTHER,OTHER,0,1
2342556,BM,1,0.25,1,early_others,0,0,0,0,0,OTHER,OTHER,0,1
2342557,BM,1,Other,1,admin_sales,0,0,0,1,0,OTHER,OTHER,0,1
2342558,CDQ,1,0.25,1,early_others,0,0,0,1,0,OTHER,OTHER,0,0
2342559,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342560,LPS,1,,0,early_others,,1,0,1,0,OTHER,OTHER,0,0
2342561,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342562,BM,1,,0,early_others,,1,0,0,0,OTHER,OTHER,0,1
2342563,BM,1,,0,early_others,,0,0,1,0,OTHER,OTHER,0,1
2342564,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342565,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,1,
2342566,BM,1,0.25,1,early_others,1,1,0,0,0,BM,OTHER,0,1
2342567,CDQ,1,0.25,1,early_others,1,0,0,0,0,OTHER,OTHER,0,1
2342568,CDQ,1,0.5,1,early_others,1,0,1,0,0,OTHER,OTHER,0,1
2342569,CDQ,1,,0,early_others,,0,1,0,0,CDQ,OTHER,0,1
2342570,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342571,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342572,BM,1,,0,early_others,,0,1,1,1,OTHER,OTHER,0,1
2342573,BM,1,,0,early_others,,1,0,1,0,OTHER,OTHER,0,1
2342574,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342575,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342576,CDQ,1,,0,early_others,,0,0,1,0,OTHER,OTHER,1,
2342577,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342578,BM,1,0.25,1,admin_sales,1,1,0,1,0,OTHER,OTHER,0,1
2342579,CDQ,1,0.25,1,technical_professional,0,1,0,1,0,OTHER,OTHER,0,1
2342580,BM,1,,0,early_others,,0,1,1,1,OTHER,OTHER,0,1
2342581,CDQ,1,,0,early_others,,1,0,0,1,OTHER,OTHER,0,0
2342582,CDQ,1,,0,early_others,,1,0,0,0,OTHER,OTHER,1,
2342583,BM,1,,0,early_others,,0,0,0,0,BM,OTHER,0,1
2342584,BM,1,Other,1,admin_sales,0,1,1,0,1,OTHER,OTHER,0,1
2342585,CDQ,0,,1,early_others,1,,,,,OTHER,OTHER,1,
2342586,BM,1,0.25,1,early_others,1,0,0,1,0,OTHER,OTHER,0,1
2342587,CDQ,1,0.25,1,technical_professional,1,0,0,1,0,OTHER,OTHER,0,1
2342588,LPS,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342589,CDQ,1,,0,early_others,,0,0,0,0,BM,OTHER,0,1
2342590,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342591,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342592,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342593,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342594,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342595,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342596,BM,1,,0,early_others,,0,1,1,0,OTHER,OTHER,0,1
2342597,LPS,1,,0,early_others,,1,1,1,0,OTHER,OTHER,0,1
2342598,CDQ,1,0.25,1,early_others,1,0,1,1,0,OTHER,OTHER,0,1
2342599,CDQ,1,,0,early_others,,0,0,0,1,OTHER,OTHER,0,1
2342600,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342601,BM,1,,0,early_others,,1,1,1,0,OTHER,OTHER,0,1
2342602,CDQ,1,,0,early_others,,0,1,0,0,OTHER,OTHER,0,1
2342603,CDQ,1,,0,early_others,,0,0,1,0,OTHER,OTHER,0,1
2342604,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342605,BM,1,,0,early_others,,0,1,0,1,OTHER,OTHER,0,1
2342606,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342607,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342608,BM,1,,0,early_others,,0,1,0,0,OTHER,OTHER,0,1
2342609,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342610,LPS,0,,1,early_others,1,,,,,OTHER,OTHER,0,1
2342611,BM,1,0.25,1,early_others,0,0,0,1,0,OTHER,OTHER,,
2342612,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342613,BM,1,0.25,1,technical_professional,0,0,0,0,0,OTHER,OTHER,0,1
2342614,BM,1,,0,early_others,,0,0,1,0,OTHER,OTHER,0,0
2342615,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342616,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342617,BM,1,0.25,1,early_others,0,0,0,1,0,OTHER,OTHER,0,1
2342618,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342619,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342620,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342621,BM,1,Other,1,technical_professional,1,0,0,0,0,OTHER,OTHER,0,1
2342622,BM,1,0.25,1,admin_sales,1,0,1,1,1,OTHER,OTHER,0,1
2342623,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342624,BM,1,,0,early_others,,0,0,1,0,OTHER,OTHER,0,1
2342625,CDQ,1,0.25,1,early_others,1,0,0,1,0,OTHER,OTHER,0,1
2342626,CDQ,0,,0,early_others,,,,,,BM,OTHER,0,1
2342627,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,,
2342628,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342629,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342630,BM,1,0.25,1,senior_executives,1,0,0,1,0,OTHER,OTHER,0,1
2342631,BM,1,,0,early_others,,1,0,0,0,OTHER,OTHER,0,1
2342632,LPS,1,,0,early_others,,0,0,1,0,OTHER,OTHER,0,1
2342633,BM,1,0.25,1,technical_professional,,0,0,0,0,OTHER,OTHER,0,
2342634,BM,1,0.25,1,technical_professional,0,0,0,1,0,OTHER,OTHER,,
2342635,LPS,0,,0,early_others,,,,,,OTHER,OTHER,,
2342636,BM,1,,0,early_others,,1,0,0,1,OTHER,OTHER,0,1
2342637,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342638,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342639,BM,1,,0,early_others,,0,1,1,0,BM,OTHER,0,1
2342640,LPS,1,,0,early_others,,0,1,1,0,OTHER,OTHER,0,1
2342641,OTHER,,,0,early_others,,,,,,OTHER,OTHER,,
2342642,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342643,CDQ,1,0.25,1,early_others,1,0,0,1,0,OTHER,OTHER,0,1
2342644,CDQ,1,0.25,1,admin_sales,1,0,0,0,0,OTHER,OTHER,0,1
2342645,BM,1,0.25,1,technical_professional,1,0,0,0,0,OTHER,OTHER,0,1
2342646,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342647,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342648,OTHER,,,0,early_others,,,,,,OTHER,OTHER,,
2342649,OTHER,,,0,early_others,,,,,,OTHER,OTHER,,
2342650,BM,1,,0,early_others,,0,1,1,1,OTHER,OTHER,1,
2342651,BM,1,,0,early_others,,0,0,1,0,BM,OTHER,0,1
2342652,BM,1,0.25,1,early_others,1,1,1,1,1,OTHER,OTHER,0,1
2342653,LPS,1,,0,early_others,,1,1,0,0,OTHER,OTHER,0,1
2342654,BM,1,0.5,1,admin_sales,0,0,0,1,0,OTHER,OTHER,0,1
2342655,LPS,1,0.25,1,technical_professional,1,0,0,1,0,OTHER,OTHER,0,1
2342656,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342657,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342658,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342659,CDQ,1,,0,early_others,,1,1,0,0,OTHER,OTHER,0,0
2342660,LPS,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,0
2342661,CDQ,1,,0,early_others,,1,1,1,1,OTHER,OTHER,0,0
2342662,BM,1,,0,early_others,,1,1,1,1,OTHER,OTHER,0,1
2342663,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342664,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342665,BM,1,,0,early_others,,0,0,0,1,OTHER,OTHER,0,1
2342666,CDQ,1,,0,early_others,,0,1,1,0,OTHER,OTHER,0,1
2342667,BM,1,Other,1,admin_sales,1,0,0,1,1,BM,OTHER,0,1
2342668,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342669,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,0
2342670,BM,0,,1,senior_executives,0,,,,,OTHER,OTHER,0,1
2342671,BM,1,0.25,1,technical_professional,1,0,0,1,0,OTHER,OTHER,0,1
2342672,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342673,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342674,BM,1,Other,1,admin_sales,1,1,0,0,1,OTHER,OTHER,0,1
2342675,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342676,BM,1,0.25,1,admin_sales,0,0,0,0,0,OTHER,OTHER,0,1
2342677,BM,1,,0,early_others,,0,0,0,0,BM,OTHER,0,1
2342678,BM,1,0.25,1,admin_sales,1,0,0,0,0,OTHER,OTHER,0,1
2342679,BM,1,,0,early_others,,1,1,1,1,OTHER,OTHER,0,1
2342680,LPS,1,,0,early_others,,0,0,1,0,LPS,OTHER,0,1
2342681,LPS,1,,0,early_others,,0,0,1,0,LPS,OTHER,0,1
2342682,BM,1,,0,early_others,,1,0,0,1,OTHER,OTHER,0,0
2342683,LPS,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342684,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342685,CDQ,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342686,LPS,1,,0,early_others,,1,1,0,0,OTHER,OTHER,0,1
2342687,BM,1,0.25,1,early_others,1,0,0,1,0,OTHER,OTHER,0,1
2342688,BM,1,,0,early_others,,0,0,0,0,OTHER,OTHER,0,1
2342689,CDQ,1,0.25,1,technical_professional,1,0,0,0,0,OTHER,OTHER,0,1
2342690,LPS,1,,0,early_others,,0,0,0,1,BM,OTHER,0,1
2342691,OTHER,,,,early_others,,,,,,OTHER,OTHER,,
2342692,CDQ,1,0.25,1,technical_professional,1,0,0,1,0,CDQ,OTHER,0,1
2342693,OTHER,,,0,early_others,,,,,,OTHER,OTHER,,
