unique_id,Graduation_year,study_level,job_title,Industry,School,study_program,time_to_job_after_graduation,current_status,degree_required_for_job,career_prep_talked_faculty,career_prep_attended_fair,career_prep_worked_in_field,career_prep_used_career_services,other_courses_to_take,other_courses_to_take.1,alumni_registered,alumni_interest_info
43335,,,early_others,,,OTHER,,0,,1,0,0,1,OTHER,OTHER,0,1
43345,,,early_others,,,OTHER,,1,,0,0,1,1,CDQ,OTHER,,
43355,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,BM,0,1
43365,,,technical_professional,,,OTHER,0.25,1,1,0,0,0,1,BM,OTHER,1,
43375,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43385,,,early_others,,,OTHER,,0,,1,1,1,0,OTHER,BM,0,1
43395,,,early_others,,,OTHER,,0,,1,0,0,0,OTHER,OTHER,1,
43405,,,technical_professional,,,OTHER,0.25,1,0,0,1,1,0,OTHER,OTHER,1,
43415,,,early_others,,,OTHER,,0,,1,1,1,0,BM,OTHER,0,1
43425,,,early_others,,,OTHER,,0,,0,1,1,0,OTHER,BM,,
43435,,,senior_executives,,,OTHER,0.25,1,1,0,0,1,0,BM,OTHER,0,0
43445,,,senior_executives,,,OTHER,Other,1,0,0,0,0,0,OTHER,OTHER,0,1
43455,,,early_others,,,OTHER,0.25,1,0,1,1,1,1,LPS,OTHER,1,
43465,,,technical_professional,,,OTHER,0.5,1,0,0,0,0,0,OTHER,OTHER,0,1
43475,,,admin_sales,,,OTHER,0.25,1,1,0,1,0,0,OTHER,OTHER,0,1
43485,,,early_others,,,OTHER,,0,,1,0,0,0,CDQ,OTHER,,
43495,,,technical_professional,,,OTHER,0.5,1,1,1,0,0,1,OTHER,OTHER,,
43505,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43515,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43525,,,early_others,,,OTHER,0.5,1,1,0,0,1,1,BM,OTHER,1,
43535,,,technical_professional,,,OTHER,0.25,1,1,0,1,1,0,CDQ,OTHER,1,
43545,,,early_others,,,OTHER,,0,,0,1,1,0,CDQ,OTHER,0,1
43555,,,early_others,,,OTHER,,0,,0,0,0,0,BM,OTHER,,
43565,,,admin_sales,,,OTHER,0.25,1,0,1,1,1,0,OTHER,OTHER,,
43575,,,technical_professional,,,OTHER,0.25,1,1,1,1,1,1,OTHER,BM,0,1
43585,,,technical_professional,,,OTHER,0.25,1,1,1,0,1,0,CDQ,OTHER,0,1
43595,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43605,,,early_others,,,OTHER,,1,,0,0,0,0,BM,OTHER,,
43615,,,technical_professional,,,OTHER,0.25,1,1,1,0,0,0,OTHER,CDQ,1,
43625,,,early_others,,,OTHER,,0,,1,0,1,1,BM,OTHER,0,1
43635,,,early_others,,,OTHER,0.25,1,1,1,0,1,1,CDQ,OTHER,1,
43645,,,admin_sales,,,OTHER,0.25,1,1,0,0,1,0,BM,OTHER,1,
43655,,,senior_executives,,,OTHER,Other,1,0,0,0,1,0,OTHER,BM,0,1
43665,,,technical_professional,,,OTHER,0.25,1,0,0,0,1,1,LPS,OTHER,0,1
43675,,,early_others,,,OTHER,0.25,1,0,0,0,1,0,OTHER,OTHER,0,1
43685,,,early_others,,,OTHER,Other,1,0,0,0,0,0,OTHER,OTHER,0,1
43695,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,OTHER,,
43705,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43715,,,early_others,,,OTHER,0.25,1,1,0,1,1,1,OTHER,OTHER,1,
43725,,,early_others,,,OTHER,,1,,0,0,0,0,OTHER,OTHER,,
43735,,,early_others,,,OTHER,,0,,1,0,0,1,OTHER,CDQ,0,1
43745,,,technical_professional,,,OTHER,0.5,1,1,0,0,1,0,OTHER,OTHER,0,1
43755,,,technical_professional,,,OTHER,0.25,1,1,1,1,1,0,OTHER,OTHER,1,
43765,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43775,,,early_others,,,OTHER,0.25,1,1,0,0,1,0,BM,OTHER,,
43785,,,early_others,,,OTHER,,0,,1,0,0,0,OTHER,CDQ,1,
43795,,,admin_sales,,,OTHER,0.25,1,0,0,0,0,0,OTHER,OTHER,1,
43805,,,early_others,,,OTHER,,,,1,0,1,0,OTHER,OTHER,,
43815,,,early_others,,,OTHER,,0,,0,0,1,1,OTHER,OTHER,0,1
43825,,,early_others,,,OTHER,,0,,0,0,1,0,OTHER,CDQ,0,1
43835,,,early_others,,,OTHER,,0,,0,0,0,1,LPS,OTHER,0,0
43845,,,early_others,,,OTHER,,0,,0,1,1,1,CDQ,OTHER,1,
43855,,,early_others,,,OTHER,,0,,1,1,1,1,OTHER,OTHER,,
43865,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43875,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43885,,,senior_executives,,,OTHER,0.25,1,0,0,0,1,0,OTHER,BM,1,
43895,,,early_others,,,OTHER,,0,,0,0,0,1,OTHER,OTHER,1,
43905,,,early_others,,,OTHER,,1,,0,0,1,0,OTHER,OTHER,0,1
43915,,,early_others,,,OTHER,,0,,0,1,0,1,OTHER,OTHER,1,
43925,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43935,,,early_others,,,OTHER,,0,,1,1,1,1,OTHER,OTHER,1,
43945,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,LPS,0,0
43955,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
43965,,,senior_executives,,,OTHER,0.25,1,0,0,1,1,0,OTHER,OTHER,1,
43975,,,early_others,,,OTHER,,0,,1,1,1,1,OTHER,OTHER,1,
43985,,,early_others,,,OTHER,Other,1,1,0,0,1,0,BM,OTHER,0,1
43995,,,early_others,,,OTHER,,1,,0,0,1,1,OTHER,OTHER,0,1
44005,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44015,,,early_others,,,OTHER,,0,,0,1,0,1,OTHER,OTHER,,
44025,,,early_others,,,OTHER,,0,,0,0,1,1,OTHER,OTHER,0,0
44035,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44045,,,early_others,,,OTHER,,0,,0,0,0,0,BM,OTHER,1,
44055,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,OTHER,1,
44065,,,technical_professional,,,OTHER,Other,1,1,1,1,1,1,OTHER,OTHER,0,1
44075,,,early_others,,,OTHER,,,,0,0,0,0,OTHER,OTHER,,
44085,,,admin_sales,,,OTHER,0.5,1,1,1,1,0,0,OTHER,BM,1,
44095,,,admin_sales,,,OTHER,0.5,1,1,0,0,1,1,BM,OTHER,0,1
44105,,,early_others,,,OTHER,,0,,0,0,0,1,OTHER,OTHER,0,1
44115,,,early_others,,,OTHER,Other,1,1,0,0,1,0,BM,OTHER,0,1
44125,,,early_others,,,OTHER,,1,,0,0,1,0,BM,OTHER,,
44135,,,early_others,,,OTHER,,0,,0,1,0,1,CDQ,OTHER,,
44145,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44155,,,admin_sales,,,OTHER,0.25,1,1,1,0,0,1,OTHER,BM,1,
44165,,,technical_professional,,,OTHER,0.5,1,1,1,1,1,1,OTHER,OTHER,0,1
44175,,,early_others,,,OTHER,,0,,0,0,1,1,OTHER,OTHER,0,0
44185,,,admin_sales,,,OTHER,Other,1,1,0,0,0,1,BM,OTHER,1,
44195,,,early_others,,,OTHER,0.25,1,1,0,0,0,0,BM,OTHER,0,1
44205,,,admin_sales,,,OTHER,0.25,1,1,1,1,1,1,OTHER,OTHER,0,1
44215,,,early_others,,,OTHER,,,,0,0,0,0,OTHER,OTHER,,
44225,,,early_others,,,OTHER,,0,,0,0,0,1,LPS,OTHER,1,
44235,,,early_others,,,OTHER,,0,,0,0,1,0,OTHER,BM,0,1
44245,,,early_others,,,OTHER,,0,,0,0,0,1,BM,OTHER,0,1
44255,,,early_others,,,OTHER,,0,,0,0,0,0,BM,OTHER,0,1
44265,,,early_others,,,OTHER,,0,,1,1,1,1,OTHER,OTHER,1,
44275,,,early_others,,,OTHER,,0,,0,0,1,0,OTHER,CDQ,0,1
44285,,,early_others,,,OTHER,0.25,1,1,1,0,1,0,OTHER,OTHER,1,
44295,,,early_others,,,OTHER,,1,,0,1,1,0,OTHER,OTHER,1,
44305,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44315,,,early_others,,,OTHER,,0,,1,1,1,0,LPS,OTHER,1,
44325,,,early_others,,,OTHER,,0,,1,1,0,0,BM,OTHER,1,
44335,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44345,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,OTHER,0,1
44355,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44365,,,early_others,,,OTHER,,,,0,0,0,0,OTHER,OTHER,,
44375,,,early_others,,,OTHER,,0,,0,0,0,1,OTHER,OTHER,0,1
44385,,,early_others,,,OTHER,,0,,0,1,0,0,CDQ,OTHER,1,
44395,,,technical_professional,,,OTHER,Other,1,0,0,0,1,0,OTHER,OTHER,0,0
44405,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,OTHER,1,
44415,,,early_others,,,OTHER,,1,,0,0,0,0,OTHER,BM,0,1
44425,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44435,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44445,,,early_others,,,OTHER,,0,,0,1,1,0,OTHER,CDQ,1,
44455,,,technical_professional,,,OTHER,0.25,1,0,1,1,1,0,OTHER,OTHER,1,
44465,,,admin_sales,,,OTHER,Other,1,1,1,0,1,0,OTHER,OTHER,,
44475,,,early_others,,,OTHER,,0,,0,0,1,1,OTHER,CDQ,,
44485,,,early_others,,,OTHER,,0,,1,1,1,0,OTHER,OTHER,1,
44495,,,early_others,,,OTHER,0.25,1,0,0,0,0,0,OTHER,OTHER,0,1
44505,,,early_others,,,OTHER,,,,0,0,0,1,OTHER,OTHER,,
44515,,,admin_sales,,,OTHER,Other,1,1,0,0,1,0,OTHER,OTHER,1,
44525,,,early_others,,,OTHER,,0,,1,0,0,1,CDQ,OTHER,1,
44535,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44545,,,early_others,,,OTHER,,0,,0,0,1,1,LPS,OTHER,1,
44555,,,early_others,,,OTHER,0.5,1,1,1,1,1,0,OTHER,OTHER,1,
44565,,,early_others,,,OTHER,,,,0,0,0,0,OTHER,OTHER,,
44575,,,early_others,,,OTHER,,0,,0,0,0,1,BM,OTHER,1,
44585,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44595,,,technical_professional,,,OTHER,0.5,1,1,0,0,0,0,OTHER,OTHER,0,1
44605,,,technical_professional,,,OTHER,0.25,1,1,0,0,1,0,OTHER,OTHER,1,
44615,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44625,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44635,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44645,,,early_others,,,OTHER,,0,,1,0,1,1,OTHER,OTHER,0,1
44655,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44665,,,early_others,,,OTHER,0.25,1,1,0,1,1,1,OTHER,BM,0,1
44675,,,early_others,,,OTHER,,0,,0,1,0,0,OTHER,OTHER,0,1
44685,,,technical_professional,,,OTHER,0.25,1,1,0,0,1,0,OTHER,OTHER,1,
44695,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,LPS,1,
44705,,,early_others,,,OTHER,,0,,1,0,0,1,CDQ,OTHER,1,
44715,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,OTHER,0,1
44725,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44735,,,senior_executives,,,OTHER,Other,1,1,1,0,0,0,OTHER,OTHER,0,0
44745,,,early_others,,,OTHER,,0,,0,0,0,0,BM,OTHER,0,1
44755,,,early_others,,,OTHER,,0,,0,0,1,1,OTHER,OTHER,,
44765,,,early_others,,,OTHER,0.25,1,1,1,1,1,1,CDQ,OTHER,1,
44775,,,early_others,,,OTHER,,0,,0,0,1,1,OTHER,OTHER,1,
44785,,,early_others,,,OTHER,Other,1,1,0,0,1,1,BM,OTHER,,
44795,,,early_others,,,OTHER,,0,,1,1,1,1,OTHER,OTHER,0,1
44805,,,admin_sales,,,OTHER,0.25,1,1,1,1,1,1,OTHER,LPS,0,1
44815,,,early_others,,,OTHER,Other,1,1,1,0,1,1,OTHER,OTHER,0,1
44825,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44835,,,senior_executives,,,OTHER,0.25,1,1,0,0,1,0,OTHER,OTHER,1,
44845,,,early_others,,,OTHER,,0,,0,1,0,1,OTHER,CDQ,1,
44855,,,admin_sales,,,OTHER,0.25,1,0,0,0,1,0,OTHER,OTHER,1,
44865,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44875,,,early_others,,,OTHER,,0,,0,0,0,1,CDQ,OTHER,1,
44885,,,early_others,,,OTHER,0.5,1,1,0,0,1,0,OTHER,OTHER,0,1
44895,,,early_others,,,OTHER,,0,,0,0,1,0,BM,OTHER,1,
44905,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44915,,,admin_sales,,,OTHER,Other,1,1,0,0,0,0,CDQ,OTHER,1,
44925,,,early_others,,,OTHER,,0,,1,1,1,1,CDQ,OTHER,1,
44935,,,technical_professional,,,OTHER,0.25,1,1,0,1,0,1,OTHER,CDQ,1,
44945,,,technical_professional,,,OTHER,0.25,1,1,0,0,1,0,OTHER,OTHER,1,
44955,,,early_others,,,OTHER,,1,,1,1,1,0,OTHER,BM,0,1
44965,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
44975,,,early_others,,,OTHER,0.25,1,1,0,0,1,0,OTHER,BM,1,
44985,,,early_others,,,OTHER,,0,,1,0,1,0,CDQ,OTHER,1,
44995,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,CDQ,0,0
45005,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45015,,,early_others,,,OTHER,,0,,0,1,0,1,CDQ,OTHER,0,1
45025,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45035,,,early_others,,,OTHER,,0,,1,1,1,1,OTHER,BM,0,1
45045,,,early_others,,,OTHER,,0,,0,1,0,1,BM,OTHER,0,1
45055,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45065,,,early_others,,,OTHER,,1,,1,0,1,0,OTHER,OTHER,1,
45075,,,early_others,,,OTHER,0.25,1,1,1,0,1,1,BM,OTHER,0,1
45085,,,early_others,,,OTHER,,0,,1,0,0,1,OTHER,OTHER,0,1
45095,,,early_others,,,OTHER,,0,,1,0,0,0,OTHER,OTHER,0,0
45105,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45115,,,technical_professional,,,OTHER,0.25,1,0,0,1,1,1,LPS,OTHER,0,1
45125,,,early_others,,,OTHER,,0,,1,0,0,0,OTHER,LPS,0,1
45135,,,early_others,,,OTHER,,0,,0,0,0,1,BM,OTHER,1,
45145,,,early_others,,,OTHER,,0,,0,0,0,1,OTHER,CDQ,0,1
45155,,,early_others,,,OTHER,,0,,0,0,1,0,BM,OTHER,0,1
45165,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45175,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45185,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45195,,,early_others,,,OTHER,,0,,1,0,0,1,OTHER,LPS,,
45205,,,senior_executives,,,OTHER,0.25,1,1,1,1,0,0,OTHER,OTHER,1,
45215,,,early_others,,,OTHER,,0,,0,0,0,1,CDQ,OTHER,0,0
45225,,,technical_professional,,,OTHER,Other,1,1,0,0,0,0,CDQ,OTHER,1,
45235,,,technical_professional,,,OTHER,0.25,1,1,1,1,0,1,OTHER,BM,1,
45245,,,senior_executives,,,OTHER,0.5,1,0,1,1,0,1,OTHER,OTHER,1,
45255,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45265,,,technical_professional,,,OTHER,0.25,1,1,0,1,0,1,OTHER,BM,0,1
45275,,,senior_executives,,,OTHER,Other,1,1,1,0,0,0,OTHER,OTHER,1,
45285,,,technical_professional,,,OTHER,0.25,1,0,0,1,1,0,BM,OTHER,0,1
45295,,,early_others,,,OTHER,Other,1,0,0,1,1,0,BM,OTHER,0,1
45305,,,early_others,,,OTHER,,0,,0,0,0,1,BM,OTHER,,
45315,,,early_others,,,OTHER,,0,,1,0,0,1,OTHER,LPS,0,1
45325,,,early_others,,,OTHER,0.25,1,0,0,0,0,0,OTHER,OTHER,1,
45335,,,early_others,,,OTHER,,0,,1,1,0,1,LPS,OTHER,1,
45345,,,early_others,,,OTHER,,1,,0,0,1,0,BM,OTHER,1,
45355,,,early_others,,,OTHER,,0,,0,0,1,0,OTHER,BM,1,
45365,,,early_others,,,OTHER,,0,,1,0,0,1,BM,OTHER,1,
45375,,,early_others,,,OTHER,,0,,1,0,0,0,OTHER,OTHER,0,0
45385,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45395,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45405,,,early_others,,,OTHER,,0,,0,1,0,1,OTHER,OTHER,0,1
45415,,,senior_executives,,,OTHER,0.5,1,1,0,0,0,0,OTHER,OTHER,0,0
45425,,,early_others,,,OTHER,0.5,1,1,1,0,0,0,LPS,OTHER,1,
45435,,,early_others,,,OTHER,,0,,0,0,0,0,CDQ,OTHER,1,
45445,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45455,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45465,,,early_others,,,OTHER,,0,,1,0,0,0,OTHER,CDQ,0,1
45475,,,admin_sales,,,OTHER,0.25,1,1,1,1,1,0,OTHER,OTHER,1,
45485,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45495,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,BM,0,1
45505,,,early_others,,,OTHER,,0,,0,0,0,1,OTHER,OTHER,1,
45515,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45525,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45535,,,early_others,,,OTHER,,0,,1,1,0,0,BM,OTHER,1,
45545,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45555,,,early_others,,,OTHER,,0,,0,0,0,1,OTHER,OTHER,0,1
45565,,,early_others,,,OTHER,,,,0,0,0,1,OTHER,OTHER,,
45575,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45585,,,early_others,,,OTHER,Other,1,1,1,1,1,1,OTHER,BM,0,1
45595,,,early_others,,,OTHER,,0,,0,1,0,0,CDQ,OTHER,1,
45605,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45615,,,early_others,,,OTHER,,1,,0,0,0,0,OTHER,OTHER,0,1
45625,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45635,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45645,,,technical_professional,,,OTHER,0.5,1,1,0,0,1,0,OTHER,OTHER,0,1
45655,,,technical_professional,,,OTHER,0.5,1,1,0,0,1,0,OTHER,OTHER,0,1
45665,,,early_others,,,OTHER,,0,,1,0,1,0,OTHER,OTHER,0,1
45675,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,CDQ,0,1
45685,,,early_others,,,OTHER,0.25,1,0,0,0,1,0,OTHER,OTHER,0,1
45695,,,early_others,,,OTHER,,0,,0,0,0,1,OTHER,OTHER,0,1
45705,,,early_others,,,OTHER,,,,1,1,1,0,OTHER,OTHER,,
45715,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45725,,,early_others,,,OTHER,0.25,1,1,0,1,1,1,OTHER,OTHER,,
45735,,,technical_professional,,,OTHER,0.25,1,1,1,1,1,1,OTHER,BM,0,1
45745,,,early_others,,,OTHER,,0,,0,0,0,0,OTHER,OTHER,0,0
45755,,,early_others,,,OTHER,,0,,1,0,0,1,OTHER,OTHER,0,1
45765,,,senior_executives,,,OTHER,Other,1,0,0,0,0,0,OTHER,OTHER,1,
45775,,,technical_professional,,,OTHER,0.25,1,1,0,0,1,1,BM,OTHER,0,1
45785,,,early_others,,,OTHER,,1,,0,0,0,0,BM,OTHER,0,1
45795,,,early_others,,,OTHER,,0,,0,1,0,0,OTHER,OTHER,0,1
45805,,,early_others,,,OTHER,,0,,0,0,0,0,BM,OTHER,0,0
45815,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45825,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45835,,,early_others,,,OTHER,,0,,0,0,0,1,BM,OTHER,0,1
45845,,,early_others,,,OTHER,,,,,,,,OTHER,OTHER,,
45855,,,early_others,,,OTHER,,0,,0,0,0,0,BM,OTHER,1,
45865,,,early_others,,,OTHER,,0,,0,0,0,1,LPS,OTHER,,
45875,,,early_others,,,OTHER,,0,,0,0,1,1,LPS,OTHER,0,1
